# Px    Py    Pz    Bx    By    Bz    Color
  0     0     0     0.8   0.8   0.45   0.9
  0     0     1     0.5   0.7   0.35   0.6
  0     0     2     0.7   0.5   0.25   0.8
  0     1     0     0.65   0.65   0.50   0.1
  0     1     1     0.6   0.6   0.3   0.2
  0     1     2     0.45   0.45   0.20   0.1
  1     0     0     0.5   0.7   0.35   0.3
  1     0     1     0.75   0.75   0.4   0.5
  1     0     2     0.85   0.85   0.25   0.4
  1     1     0     0.90   0.85   0.23   0.6
  1     1     1     0.95   0.86   0.20   0.5
  1     1     2     0.98   0.88   0.13   0.1
  2     0     0     0.73   0.83   0.43   0.4
  2     0     1     0.53   0.73   0.33   0.1
  2     0     2     0.73   0.53   0.23   0.3
  2     1     0     0.68   0.68   0.52   0.7
  2     1     1     0.63   0.57   0.23   0.2
  2     1     2     0.48   0.42   0.22   0.1
